selection_date,buy_date,sell_date,stock,sector,selection_reason,buy_price,sell_price,quantity,investment,pnl_rupees,pnl_pct,outcome
2026-07-03,2026-07-06,2026-07-08,HINDALCO,METALS,"Opportunity score 48.5/100 (Trend Rider, WATCH)",960.85,971.65,10,9608.5,108.0,1.12,Weak Profit
2026-07-03,2026-07-06,2026-07-08,NTPC,ENERGY,"Opportunity score 47.4/100 (MACD Cross, WATCH)",356.0,348.7,10,3560.0,-73.0,-2.05,Failed
2026-07-03,2026-07-06,2026-07-08,TATACONSUM,FMCG,"Opportunity score 46.6/100 (MACD Cross, WATCH)",1115.1,1089.8,10,11151.0,-253.0,-2.27,Failed
2026-07-03,2026-07-06,2026-07-08,TATASTEEL,METALS,"Opportunity score 46.4/100 (MACD Cross, WATCH)",190.39,188.2,10,1903.9,-21.9,-1.15,Small Loss
2026-07-03,2026-07-06,2026-07-08,KOTAKBANK,BANKING,"Opportunity score 40.0/100 (Supertrend, IGNORE)",389.75,370.1,10,3897.5,-196.5,-5.04,Failed
2026-07-06,2026-07-07,2026-07-09,SBIN,BANKING,"Opportunity score 57.8/100 (Trend Rider, WATCH)",1039.3,1022.1,10,10393.0,-172.0,-1.65,Small Loss
2026-07-06,2026-07-07,2026-07-09,ONGC,ENERGY,"Opportunity score 51.9/100 (MACD Cross, WATCH)",244.05,243.65,10,2440.5,-4.0,-0.16,Small Loss
2026-07-06,2026-07-07,2026-07-09,COALINDIA,ENERGY,"Opportunity score 51.3/100 (Trend Rider, WATCH)",432.35,429.9,10,4323.5,-24.5,-0.57,Small Loss
2026-07-06,2026-07-07,2026-07-09,TATACONSUM,FMCG,"Opportunity score 50.6/100 (Mean Reversion, WATCH)",1111.2,1106.7,10,11112.0,-45.0,-0.4,Small Loss
2026-07-06,2026-07-07,2026-07-09,NESTLEIND,FMCG,"Opportunity score 48.5/100 (Trend Rider, WATCH)",1465.2,1463.2,10,14652.0,-20.0,-0.14,Small Loss
2026-07-06,2026-07-07,2026-07-09,HINDALCO,METALS,"Opportunity score 48.5/100 (Trend Rider, WATCH)",970.4,963.45,10,9704.0,-69.5,-0.72,Small Loss
2026-07-06,2026-07-07,2026-07-09,POWERGRID,ENERGY,"Opportunity score 48.0/100 (Trend Rider, WATCH)",285.35,281.35,10,2853.5,-40.0,-1.4,Small Loss
2026-07-06,2026-07-07,2026-07-09,NTPC,ENERGY,"Opportunity score 47.4/100 (MACD Cross, WATCH)",355.8,343.7,10,3558.0,-121.0,-3.4,Failed
2026-07-06,2026-07-07,2026-07-09,TATASTEEL,METALS,"Opportunity score 46.4/100 (MACD Cross, WATCH)",191.0,187.91,10,1910.0,-30.9,-1.62,Small Loss
2026-07-06,2026-07-07,2026-07-09,HCLTECH,IT,"Opportunity score 42.6/100 (Mean Reversion, WATCH)",1135.0,1150.4,10,11350.0,154.0,1.36,Weak Profit

SUMMARY PER SELECTION DATE
selection_date,total_investment,final_value,net_pnl,net_return_pct,winning_stocks,losing_stocks,win_rate_pct,best_stock,worst_stock
2026-07-01,74152.4,74415.2,262.8,0.35,5,5,50.0,ONGC,AXISBANK
2026-07-02,72269.0,72740.7,471.7,0.65,5,5,50.0,HCLTECH,COALINDIA
2026-07-03,64765.9,63916.0,-849.9,-1.31,2,8,20.0,ONGC,KOTAKBANK
2026-07-06,72296.5,71923.6,-372.9,-0.52,1,9,10.0,HCLTECH,NTPC

OVERALL
total_invested,283483.8
total_net_pnl,-488.3
overall_profit_margin_pct,-0.17
overall_accuracy_win_rate_pct,32.5
winning_trades,13
losing_trades,27
note,This is historical paper testing only. No real orders are placed.
